file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA359-Gondar-1	1	1	1.91224	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA357-Gondar-1	1	1	1.76788	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA355-Gondar-1	1	1	1.68176	1	2.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA353-Gondar-1	2	2	1.94883	2	10.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA348-Gondar-1	1	1	2.1425	1	11
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA347-Gondar-1	1	1	1.96874	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA341-Gondar-1	1	1	1.90758	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA338-Gondar-1	1	1	2.04027	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA335-Gondar-1	1	1	1.92207	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA334-Gondar-1	1	1	2.06115	1	10.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA328-Gondar-1	1	1	1.88888	1	6
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA327-Gondar-1	1	1	1.83885	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA325-Gondar-1	1	1	1.94985	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA323-Gondar-1	2	2	1.70946	2	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA320-Gondar-1	2	2	2.21835	2	11.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA319-Gondar-1	1	1	1.92514	1	6
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA385-Gondar-1	2	2	1.64352	2	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA318-Gondar-1	1	1	1.8311	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA317-Gondar-1	1	1	1.82178	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA313-Gondar-1	1	1	1.99901	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA312-Gondar-1	1	1	1.92833	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA310-Gondar-1	1	1	1.96641	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA309-Gondar-1	1	1	2.07602	1	10.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA304-Gondar-1	1	1	1.91234	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA303-Gondar-1	1	1	1.89368	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA302-Gondar-1	1	1	1.81882	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA343-Gondar-1	1	1	1.97965	1	9
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA301-Gondar-1	1	1	1.8552	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA300-Gondar-1	1	1	2.01319	1	9
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA293-Gondar-1	1	1	2.02561	1	8
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA292-Gondar-1	1	1	1.91008	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA291-Gondar-1	1	1	1.84517	1	6
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA350-Gondar-1	1	1	1.85323	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA290-Gondar-1	1	1	1.99012	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA289-Gondar-1	1	1	2.02243	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA287-Gondar-1	1	1	1.80738	1	4.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA285-Gondar-1	1	1	2.0216	1	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA308-Gondar-1	1	1	1.86101	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA282-Gondar-1	1	1	1.92905	1	8
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA281-Gondar-1	1	1	1.78324	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA280-Gondar-1	1	1	1.92334	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA278-Gondar-1	1	1	1.83733	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA277-Gondar-1	1	1	1.84763	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA272-Gondar-1	1	1	2.18468	1	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA267-Gondar-1	1	1	2.11207	1	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA266-Gondar-1	1	1	1.98123	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA260-Gondar-1	2	2	2.10699	2	12
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA311-Gondar-1	1	1	1.77504	1	5
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA258-Gondar-1	1	1	1.89165	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA255-Gondar-1	1	1	1.89466	1	6
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA254-Gondar-1	1	1	1.88728	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA298-Gondar-1	1	1	2.03662	1	9
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA253-Gondar-1	1	1	2.04569	1	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA247-Gondar-1	1	1	2.38531	1	13
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA246-Gondar-1	1	1	1.79399	1	6
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA244-Gondar-1	1	1	1.90484	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA243-Gondar-1	1	1	1.87951	1	6
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA398-Gondar-1	2	2	1.94174	2	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA242-Gondar-1	1	1	1.86863	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA237-Gondar-1	1	1	2.11984	1	11
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA236-Gondar-1	1	1	1.90894	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA393-Gondar-1	1	1	1.97737	1	9
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA367-Gondar-1	1	1	1.93638	1	8
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA232-Gondar-1	1	1	2.02366	1	10
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA230-Gondar-1	1	1	1.80887	1	5
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA229-Gondar-1	1	1	1.9279	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA227-Gondar-1	1	1	2.0946	1	10
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA224-Gondar-1	1	1	1.77068	1	3.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA223-Gondar-1	2	2	1.87411	2	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA276-Gondar-1	1	1	1.865	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA222-Gondar-1	1	1	2.0966	1	10
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA220-Gondar-1	1	1	1.93378	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA219-Gondar-1	1	1	1.93507	1	8
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA366-Gondar-1	1	1	1.94779	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA210-Gondar-1	1	1	1.94196	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA208-Gondar-1	1	1	2.0896	1	10.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA206-Gondar-1	1	1	2.11832	1	10.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA205-Gondar-1	1	1	1.77045	1	4
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA201-Gondar-1	1	1	2.09762	1	10
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA200-Gondar-1	1	1	1.85983	1	6
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA199-Gondar-1	1	1	1.99429	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA198-Gondar-1	1	1	1.8948	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA197-Gondar-1	1	1	2.07157	1	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA195-Gondar-1	1	1	1.81593	1	5
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA191-Gondar-1	1	1	1.97032	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA376-Gondar-1	1	1	1.81064	1	5
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA283-Gondar-1	1	1	2.04403	1	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA189-Gondar-1	1	1	1.81537	1	4.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA188-Gondar-1	2	2	1.81884	2	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA186-Gondar-1	1	1	1.8961	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA184-Gondar-1	1	1	1.81452	1	5.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA179-Gondar-1	1	1	1.68637	1	3.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA178-Gondar-1	2	2	1.82379	2	8
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA177-Gondar-1	1	1	2.08176	1	9
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA173-Gondar-1	1	1	2.06328	1	9.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA171-Gondar-1	2	2	1.78954	2	8
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA170-Gondar-1	2	2	1.85712	2	9
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA166-Gondar-1	1	1	2.0001	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA165-Gondar-1	1	1	1.91291	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA155-Gondar-1	4	3	2.41725	3	15
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA162-Gondar-1	1	1	1.94785	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA154-Gondar-1	1	1	2.00816	1	10
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA153-Gondar-1	1	1	1.9899	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA151-Gondar-1	1	1	1.89307	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA150-Gondar-1	1	1	1.91848	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA147-Gondar-1	1	1	2.14275	1	11.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA202-Gondar-1	1	1	1.87951	1	7
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA145-Gondar-1	1	1	1.73199	1	3.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA144-Gondar-1	2	2	1.78168	2	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA279-Gondar-1	1	1	1.92452	1	7.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA142-Gondar-1	2	2	2.04305	2	10.025
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA141-Gondar-1	1	1	1.73819	1	4.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA135-Gondar-1	1	1	2.19281	1	11
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA134-Gondar-1	1	1	1.95212	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA133-Gondar-1	1	1	1.84599	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA131-Gondar-1	1	1	1.80817	1	4.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA183-Gondar-1	1	1	1.91636	1	8.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA126-Gondar-1	1	1	1.88257	1	6.02499999999998
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA264-Gondar-1	1	1	2.26695	1	13
IBC2FULL_PF_genomics_Ethiopia_DR2_IBC_merged.COI_dist_plot.samplemiss-25.sitemiss-20_COIfromGDS.tsv	C	SA146-Gondar-1	1	1	2.14982	1	10
