AA change,k13_622I,crt_75E,crt_76T,crt_326S
GM276,0,1,1,0
GM277,0,1,1,1
GM278,0,0,0,1
GM279,1,1,1,1
GM280,0,1,1,1
GM281,0,1,1,1
GM282,0,1,1,1
GM283,0,1,1,1
GM284,0,0,0,0
GM285,0,1,1,1
GM286,0,1,1,1
GM287,1,1,1,1
GM288,0,1,1,1
GM289,0,1,1,1
GM290,0,0,0,0
GM292,0,1,1,1
GM293,1,1,1,1
GM294,1,1,1,1
GM295,0,1,1,1
GM296,0,1,1,1
GM297,1,1,1,1
GM298,1,0,0,0
GM299,0,1,1,1
GM300,0,1,1,1
GM301,0,0,0,0
GM302,1,1,1,1
GM303,0,1,1,1
GM305,0,0,0,0
GM307,1,1,1,1
GM308,1,1,1,1
GM310,1,1,1,1
GM312,1,0,0,0
GM313,1,1,1,1
GM316,0,1,1,1
GM317,1,1,1,1
GM318,0,1,1,1
GM319,0,1,1,0
GM320,0,0,0,0
GM321,1,0,0,0
GM322,1,0,0,0
GM324,1,1,1,1
GM325,0,1,1,0
GM326,0,1,1,1
GM327,1,1,1,1
GM328,1,0,0,0
GM329,1,1,1,1
GM331,0,0,0,0
GM332,1,1,1,1
GM333,0,1,1,1
GM334,1,1,1,0
GM336,0,1,1,1
GM337,1,1,1,1
GM338,1,1,1,1
GM339,0,1,1,1
GM340,0,1,1,1
GM342,1,1,1,1
GM343,0,0,0,0
GM345,0,1,1,0
GM346,0,0,0,0
GM347,0,1,1,1
GM348,0,1,1,1
GM350,1,1,1,1
GM352,1,1,1,1
GM353,0,1,1,1
GM354,1,1,1,1
GM356,0,1,1,1
GM357,0,1,1,1
GM358,1,1,1,1
GM360,0,1,1,1
GM361,1,1,1,1
GM362,1,0,0,0
GM363,0,0,0,0
GM364,0,1,1,1
GM365,0,1,1,1
GM366,0,1,1,1
GM367,1,1,1,1
GM368,0,0,0,0
GM369,0,1,1,1
GM370,1,1,1,1
GM371,1,0,0,0
GM372,0,0,0,0
GM373,1,1,1,1
GM374,1,1,1,1
GM375,0,0,0,0
GM377,1,1,1,1
GM378,1,1,1,1
GM379,1,0,0,0
GM381,1,1,1,1
GM382,1,1,1,1
GM384,1,1,1,1
GM385,1,1,1,1
GM386,0,0,0,0
GM389,0,0,0,0
GM390,1,1,1,1
GM392,0,1,1,1
GM393,0,0,0,0
GM395,0,1,1,1
GM396,0,0,0,0
GM397,1,1,1,1
GM398,1,0,0,0
GM400,0,1,1,1
GM402,1,1,1,1
GM403,0,1,1,1
GM404,0,1,1,1
GM406,0,0,0,0
GM407,1,1,1,1
GM409,0,1,1,1
GM410,0,0,0,0
GM411,1,1,1,1
GM413,1,1,1,1
GM414,0,1,1,1
GM415,1,1,1,1
GM416,1,0,0,1
GM417,1,0,0,0
GM418,0,0,0,0
GM419,0,0,0,0
GM420,1,1,1,1
GM421,1,0,0,0
GM423,1,1,1,1
GM424,1,0,0,0
GM425,1,1,1,1
GM426,1,1,1,1
GM428,1,1,1,1
GM429,1,1,1,1
GM430,1,1,1,1
GM431,1,1,1,1
GM433,0,1,1,1
GM434,1,1,1,1
GM435,0,1,1,0
GM436,1,0,0,0
GM437,1,0,0,0
GM438,1,1,1,1
GM439,1,0,0,0
GM440,0,0,0,0
GM441,1,1,1,1
GM442,1,1,1,1
GM443,0,1,1,1
GM444,1,1,1,1
GM445,1,1,1,1
GM446,0,1,1,1
GM447,1,1,1,1
GM448,1,1,1,1
GM450,1,1,1,1
GM452,0,0,0,0
GM453,1,1,1,1
GM454,0,1,1,0
GM455,1,1,1,1
GM456,0,1,1,1
GM457,1,1,1,1
GM458,0,1,1,1
GM459,1,1,1,1
GM460,0,1,1,1
GM461,1,0,0,0
GM463,0,0,0,0
GM464,0,1,1,1
GM465,1,1,1,1
GM466,1,1,1,1
GM467,0,1,1,1
GM468,1,1,1,1
GM469,0,0,0,0
GM470,1,1,1,1
GM471,0,0,0,0
GM472,0,0,0,0
GM473,0,1,1,1
GM474,1,1,1,1
GM475,0,1,1,1
GM476,1,1,1,1
GM477,0,0,0,0
GM478,0,1,1,1
GM479,1,1,1,1
GM480,0,1,1,1
GM481,1,0,0,0
GM482,1,1,1,1
GM483,1,0,0,0
GM484,0,1,1,1
GM485,1,1,1,1
GM486,0,1,1,1
GM487,1,0,0,0
GM489,1,1,1,1
GM490,0,1,1,1
GM492,0,1,1,1
GM494,1,1,1,0
GM495,0,1,1,1
GM496,1,1,1,1
GM498,1,1,1,1
GM499,1,0,0,0
GM500,1,1,1,1
SA001,0,1,1,1
SA003,0,0,0,0
SA004,0,0,0,0
SA006,1,1,1,1
SA008,0,1,1,1
SA010,1,0,0,0
SA012,1,0,0,0
SA013,0,1,1,1
SA015,0,1,1,1
SA018,1,1,1,1
SA020,0,0,0,0
SA022,0,0,0,0
SA024,1,1,1,1
SA026,0,0,0,0
SA029,1,0,0,0
SA030,0,0,0,0
SA031,1,0,0,0
SA032,0,1,1,1
SA034,0,1,1,1
SA035,1,1,1,1
SA036,0,1,1,1
SA037,0,1,1,1
SA039,0,1,1,1
SA042,1,1,1,1
SA043,0,1,1,1
SA044,1,0,0,0
SA046,0,0,0,0
SA047,0,1,1,1
SA049,1,1,1,1
SA052,1,0,0,0
SA054,0,1,1,1
SA055,0,0,0,0
SA056,0,0,0,0
SA057,1,1,1,1
SA058,0,1,1,1
SA059,0,0,0,0
SA060,0,1,1,1
SA061,0,0,0,0
SA062,1,1,1,1
SA064,1,1,1,1
SA066,0,0,0,0
SA067,0,1,1,1
SA069,0,0,0,0
SA070,0,1,1,0
SA071,0,1,1,1
SA072,0,0,0,0
SA073,1,0,0,0
SA074,1,1,1,1
SA075,1,1,1,1
SA076,0,1,1,1
SA077,1,1,1,1
SA079,1,1,1,1
SA081,1,1,1,1
SA083,1,1,1,1
SA084,0,1,1,1
SA086,1,1,1,1
SA087,0,0,0,0
SA088,0,1,1,1
SA093,0,1,1,1
SA094,0,1,1,1
SA095,0,1,1,1
SA097,0,0,0,0
SA098,1,1,1,1
SA100,0,0,0,0
SA101,0,0,0,0
SA102,0,1,1,1
SA103,1,1,1,1
SA104,0,1,1,1
SA106,1,0,0,0
SA109,1,0,0,0
SA110,0,1,1,1
SA111,0,0,0,0
SA112,1,0,0,0
SA116,0,1,1,1
SA117,1,1,1,1
SA118,0,0,0,0
SA119,0,1,1,1
SA121,1,1,1,1
SA124,1,1,1,1
SA125,1,1,1,1
SA126,1,1,1,1
SA128,0,1,1,1
SA130,0,1,1,1
SA131,0,1,1,1
SA132,0,0,0,0
SA133,0,1,1,1
SA134,1,0,0,0
SA135,1,1,1,1
SA138,1,0,0,0
SA139,0,1,1,1
SA141,1,1,1,1
SA143,0,1,1,1
SA145,0,0,0,0
SA146,0,1,1,1
SA147,1,1,1,1
SA148,0,1,1,1
SA149,1,1,1,1
SA150,0,0,0,0
SA151,0,1,1,1
SA153,0,1,1,1
SA154,1,1,1,1
SA156,0,1,1,1
SA158,0,1,1,1
SA160,0,0,0,0
SA162,0,1,1,1
SA163,0,1,1,1
SA164,0,0,0,0
SA165,1,1,1,1
SA166,1,0,0,0
SA167,0,1,1,1
SA168,0,1,1,1
SA169,0,0,0,0
SA172,1,1,1,1
SA173,0,1,1,1
SA174,0,1,1,1
SA175,0,0,0,0
SA176,0,1,1,1
SA177,0,1,1,1
SA179,0,0,0,0
SA180,0,1,1,1
SA182,1,1,1,1
SA183,1,1,1,1
SA184,0,1,1,1
SA185,1,1,1,1
SA186,0,0,0,0
SA189,0,1,1,1
SA190,0,1,1,0
SA191,1,1,1,1
SA192,0,1,1,1
SA194,1,0,0,0
SA195,0,1,1,1
SA197,1,1,1,1
SA198,0,0,0,0
SA199,0,1,1,1
SA200,0,0,0,0
SA201,0,0,0,0
SA202,0,1,1,1
SA205,0,0,0,0
SA206,0,1,1,1
SA208,0,1,1,1
SA210,0,1,1,1
SA211,0,0,0,0
SA212,0,1,1,1
SA213,0,0,0,0
SA214,0,0,0,0
SA215,1,1,1,1
SA219,0,1,1,1
SA220,1,1,1,1
SA222,0,1,1,1
SA224,1,1,1,1
SA225,0,0,0,0
SA227,0,1,1,1
SA229,1,1,1,1
SA230,0,0,0,0
SA231,1,1,1,1
SA232,1,0,0,0
SA234,0,1,1,1
SA235,1,1,1,1
SA236,1,1,1,1
SA237,0,0,0,0
SA238,1,1,1,1
SA239,1,1,1,1
SA241,0,0,0,0
SA242,0,1,1,1
SA243,0,1,1,1
SA244,0,0,0,0
SA245,0,0,0,0
SA246,0,0,0,0
SA247,1,1,1,1
SA248,0,1,1,1
SA249,1,1,1,1
SA251,0,0,0,0
SA252,0,1,1,1
SA253,0,1,1,1
SA254,0,1,1,1
SA255,0,0,0,0
SA257,0,0,0,0
SA258,0,1,1,1
SA259,0,1,1,1
SA262,1,1,1,1
SA264,0,1,1,1
SA266,0,1,1,1
SA267,1,0,0,0
SA269,0,0,0,0
SA271,0,0,0,0
SA272,0,0,0,0
SA273,1,0,0,0
SA275,0,1,1,1
SA276,1,1,1,1
SA277,1,0,0,0
SA278,1,1,1,1
SA279,0,1,1,1
SA280,1,0,0,0
SA281,1,1,1,1
SA282,1,1,1,1
SA283,0,0,0,0
SA284,0,1,1,1
SA285,0,1,1,1
SA286,0,1,1,0
SA287,0,0,0,0
SA289,1,1,1,1
SA290,0,0,0,0
SA291,0,1,1,1
SA292,0,1,1,1
SA293,0,1,1,1
SA294,0,1,1,1
SA296,1,0,0,0
SA297,0,0,0,0
SA298,0,0,0,0
SA299,0,1,1,1
SA300,1,1,1,1
SA301,0,1,1,1
SA302,0,0,0,0
SA303,1,0,0,0
SA304,0,1,1,1
SA307,1,1,1,1
SA308,1,1,1,1
SA309,1,1,1,1
SA310,0,0,0,0
SA311,0,1,1,1
SA312,0,1,1,1
SA313,0,0,0,0
SA314,1,1,1,1
SA315,1,0,0,0
SA316,0,1,1,1
SA317,0,0,0,0
SA318,0,1,1,1
SA319,0,0,0,0
SA322,0,1,1,1
SA324,0,1,1,1
SA325,1,0,0,0
SA327,1,0,0,0
SA328,0,1,1,1
SA329,0,0,0,0
SA331,0,0,0,0
SA332,0,0,0,0
SA333,1,1,1,1
SA334,0,0,0,0
SA335,1,1,1,1
SA336,0,1,1,1
SA337,0,0,0,0
SA338,0,1,1,1
SA339,0,1,1,1
SA341,1,1,1,1
SA342,0,1,1,1
SA343,0,0,0,0
SA344,0,0,0,0
SA345,1,1,1,1
SA346,0,0,0,0
SA347,1,0,0,0
SA348,0,1,1,1
SA349,0,0,0,0
SA350,1,0,0,0
SA352,1,0,0,0
SA355,0,0,0,0
SA357,1,1,1,1
SA358,0,1,1,1
SA359,1,1,1,1
SA361,0,0,0,0
SA363,1,1,1,1
SA364,0,0,0,0
SA365,0,0,0,0
SA366,0,1,1,1
SA367,0,1,1,1
SA369,0,0,0,0
SA370,0,1,1,1
SA371,1,1,1,1
SA372,0,1,1,1
SA374,0,1,1,1
SA375,0,0,0,0
SA376,1,1,1,1
SA377,1,1,1,1
SA378,0,1,1,1
SA379,0,0,0,0
SA380,0,0,0,0
SA381,1,0,0,1
SA382,0,0,0,0
SA383,0,1,1,1
SA384,0,1,1,1
SA386,0,1,1,1
SA387,0,1,1,1
SA388,0,1,1,1
SA389,0,0,0,0
SA390,0,0,0,0
SA391,1,1,1,1
SA392,1,1,1,1
SA393,0,0,0,0
SA394,0,1,1,1
SA396,1,0,0,0
SA399,0,1,1,1
SA400,0,1,1,1
SA401,0,0,0,0
SA402,1,0,0,0
SA403,0,1,1,1
